0,1.66191
10,0.86853415
20,0.5200863
30,0.36357996
40,0.26866257
50,0.21267463
60,0.1788576
70,0.15317121
80,0.13999487
90,0.12290671
100,0.116719015
110,0.09661988
120,0.0938687
130,0.09150552
140,0.07172075
150,0.069115445
160,0.06760045
170,0.07627801
180,0.06893052
190,0.056128483
200,0.053699385
210,0.055828895
220,0.058967188
230,0.04846352
240,0.04937458
250,0.04444153
260,0.04171704
270,0.042421773
280,0.040216397
290,0.04080691
300,0.044122197
310,0.036207158
320,0.037639905
330,0.035756666
340,0.03586391
350,0.033198513
360,0.03374571
370,0.029796073
380,0.029425446
390,0.036638573
400,0.033575654
410,0.030261494
420,0.031277977
430,0.031083962
440,0.030665534
450,0.028941164
460,0.0268295
470,0.026464056
480,0.027759548
490,0.022340288
500,0.02296332
510,0.025740432
520,0.024839992
530,0.025057867
540,0.020835433
550,0.019412288
560,0.026001262
570,0.021609463
580,0.020622341
590,0.024636554
600,0.025061246
610,0.02469734
620,0.022228105
630,0.021122212
640,0.01661179
650,0.019779297
660,0.01764017
670,0.018793056
680,0.020434124
690,0.01842801
700,0.016567402
710,0.0174114
720,0.016186697
730,0.01731816
740,0.015667137
750,0.016539114
760,0.013731864
770,0.018740814
780,0.015757335
790,0.017904405
800,0.016672159
810,0.015469203
820,0.014233869
830,0.019526083
840,0.015543178
850,0.014447208
860,0.019646581
870,0.017170575
880,0.012131768
890,0.014405732
900,0.011923221
910,0.016148021
920,0.015799936
930,0.0141655775
940,0.013882311
950,0.012797052
960,0.015611714
970,0.011982095
980,0.014108345
990,0.011440851
999,0.012660772
